Inventaris — Minimale kledinggarderobe,,,,,,,
,,,,,,,
,,,,,,,
Item,Specificatie,Merk / Model (standaard),Qty,Prijs/stuk (€),Totaal (€),Levensduur,Afschr/mnd (€)
Merino T-shirt,"150 g/m², V-hals, navy / charcoal / wit",Uniqlo Supima Cotton,4,25,100,4 jaar,2.08
Merino lange mouw,"150 g/m², crew neck",Uniqlo Extra Fine Merino,2,35,70,4 jaar,1.46
Merino pullover,"200 g/m², crew neck, navy",Uniqlo Fine Knit,1,50,50,5 jaar,0.83
Softshell jack,"Waterproof, DWR, zwart",Decathlon Forclaz 900,1,95,95,7 jaar,1.13
Technische broek,"Stretch, slim, charcoal",Decathlon NH500,2,60,120,5 jaar,2
Boxer short,"Bamboo/merino, zwart",Bamboo Basics,4,12,48,2 jaar,2
Merino sokken,"Mid-weight, charcoal",Decathlon Kiprun,4,8,32,2 jaar,1.33
Sneaker dagelijks,"All-weather, wit/zwart",New Balance 990 v6,1,160,160,3 jaar,4.44
Waterdichte wandelschoen,Mid-cut GTX,Salomon X Ultra 4 Mid GTX,1,160,160,5 jaar,2.67
Oxford hemd,"Wit, slim fit, formele context",Uniqlo Oxford,1,35,35,6 jaar,0.49
Blazer,"Navy, slim fit, tijdloos",COS / Zara Man,1,120,120,7 jaar,1.43
Thuisbroek,"Losse trainingsbroek, binnenkleding",Decathlon,1,20,20,5 jaar,0.33
Riem,"Zwart leder, zilver gesp",n/a,1,30,30,10 jaar,0.25
TOTAAL,,,,,1040,,20.44
