Inventaris — Werkstation,,,,,,,
,,,,,,,
,,,,,,,
Item,Specificatie,Merk / Model (standaard),Qty,Prijs/stuk (€),Totaal (€),Levensduur,Afschr/mnd (€)
Laptop,"M3, 16GB RAM, 512GB SSD, 13""","MacBook Air M3 13""",1,1499,1499,5 jaar,24.98
Monitor,"27"", 4K, USB-C 96W, IPS",LG 27UK850-W,1,449,449,7 jaar,5.35
Zit-sta bureau,"140×70 cm, elektrisch, stalen frame",FlexiSpot E7 Pro,1,399,399,10 jaar,3.33
Bureaustoel,"Ergonomisch, lumbaalsteun",IKEA Markus,1,229,229,7 jaar,2.73
Toetsenbord,"Compact, Touch ID, Bluetooth",Apple Magic Keyboard,1,109,109,5 jaar,1.82
Muis,"Ergonomisch, still-click, USB-C",Logitech MX Master 3S,1,99,99,5 jaar,1.65
Koptelefoon,"ANC, USB-C, draadloos",Sony WH-1000XM5,1,349,349,5 jaar,5.82
Laptop standaard,"Aluminium, verstelbaar",Rain Design mStand,1,49,49,10 jaar,0.41
USB-C hub (backup),"7-in-1, 4K HDMI, SD, USB-A×3",Anker 555,1,45,45,5 jaar,0.75
"Webcam (extern, uitzondering)","1080p, privacy shutter",Logitech C920,1,79,79,5 jaar,1.32
TOTAAL,,,,,3306,,48.16
