Inventaris — Keukenmateriaal,,,,,,,
,,,,,,,
,,,,,,,
Item,Specificatie,Merk / Model (standaard),Qty,Prijs/stuk (€),Totaal (€),Levensduur,Afschr/mnd (€)
Inductiekookplaat,"2-pits, 3500W, compact",Tefal IH720812,1,79,79,10 jaar,0.66
Pot 3L,"Roestvrij staal, deksel inbegrepen",IKEA 365+,1,25,25,15 jaar,0.14
Braadpan 28cm,"Keramisch anti-aanbak, geen PTFE",GreenPan Venice,1,45,45,4 jaar,0.94
Deksel universeel,"Glas, 26-28cm",IKEA 365+,1,8,8,10 jaar,0.07
Koksmes 20cm,"Roestvrij, gesmeed",Victorinox Fibrox,1,35,35,20 jaar,0.15
Snijplank,"PP-kunststof, vaatwasmachinebestendig",IKEA Legitim,1,8,8,5 jaar,0.13
Vergiet / zeef,"RVS, 22cm",IKEA Idealisk,1,6,6,10 jaar,0.05
Houten lepel + spatel set,Bamboe,IKEA Rotera,1,5,5,3 jaar,0.14
Maatbeker 1L,"Glas, markering ml/cups",IKEA Vardagen,1,4,4,10 jaar,0.03
Blikopener,"Manueel, RVS",Zyliss Smooth Edge,1,12,12,10 jaar,0.1
Diep bord,"Porselein, wit",IKEA Vardagen,2,4,8,10 jaar,0.07
Plat bord,"Porselein, wit",IKEA Vardagen,2,3,6,10 jaar,0.05
Soepkom / kom,"Porselein, wit",IKEA Vardagen,1,3,3,10 jaar,0.03
"Bestek (vork, mes, lepel, theelepel)","RVS, eenvoudig",IKEA Mopsig,1,10,10,10 jaar,0.08
Glas (water),"Gehard glas, 30cl",IKEA Pokal,2,2,4,5 jaar,0.07
Mengkom,"RVS, 3L",IKEA Blanda Blank,1,7,7,10 jaar,0.06
Keukenweegschaal,"Digitaal, 5kg/1g",Beurer KS19,1,15,15,10 jaar,0.12
Waterkoker,"1.7L, RVS",Russell Hobbs 21370,1,35,35,7 jaar,0.42
TOTAAL,,,,,315,,3.31
